CÓDIGO EUROPEO,LEI,NOMBRE,DIRECCIÓN,TIPO DE SEGURO,ENTIDAD MATRIZ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
MTA252718,213800KJ2H2RL88E6O86,"STEEL PLOW INSURANCE LIMITED","THE HEDGE BUSINESS CENTRE LEVEL 3 BALLUTA BAY IR-RAMPA TA S, STJ 1, SAN GILJAN",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
MTICPSAE,549300BH1ZNN1O2B2T19,"STELLANTIS INSURANCE EUROPE LIMITED","53, MIB House, Abate Rigord Street, XBX11, Ta' Xbiex",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
MTICPSA,549300LGC76FXZ1D4683,"STELLANTIS INSURANCE LIMITED","Mediterranean Building, 53, Abate Rigord Street, XBX 1, Ta' Xbiex",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
MTICPSAL,549300I3F4GGG75UGO06,"STELLANTIS LIFE INSURANCE EUROPE LIMITED","Mediterranean Building, 53, Abate Rigord Street, XBX 1, Ta'Xbiex",vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
MTICPSALE,5493005T69ZY7UOEFM81,"STELLANTIS LIFE INSURANCE LIMITED","MEDITERREAN BUILDING,53,TRIQ L- ABATE RIGORD, XBX 1, TA XBIEX",vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
MTA173821,635400FEGDMPHD9HHE71,"TRAVELJIGSAW INSURANCE LIMITED","DEVELOPMENT HOUSE,3RD FLOOR,TRIQ SANTANNA, FRN 9, FLORIANA",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
MTA258289,9845009FA5D5E3F99186,"TRELLEBORG INSURANCE LTD.","HF 73 QASAM INDUSTRIJALI HAL FAR, BBG 3, BIRZEBBUGA",compuestos,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
MTICTUL,635400MHJKMHW8AHZW74,"TULIP ASSIST INSURANCE LIMITED","WILLIS TOWERS WATSON MANAGEMENT (MALTA) LTD - DEVELOPMENT HOUSE,TRIQ SANT'ANNA, FRN 9, FLORIANA",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
MTICMRIC,213800IKMAZTEEFEMF91,"Vodafone Insurance Limited","LEVEL 15B PORTOMASO BUSINESS TOWER PORTOMASO BUSINESS TOWER, STJ 4, SAN GILJAN",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
MTA265315,9845005H91C7374B0F11,"VUMI INSURANCE EUROPE LIMITED","THE LANDMARK LEVEL 1 SUITE 2 TRIQ L-ILJUN, QRM 3, QORMI",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
MTICWRLA,2138004JS6KG67BFOW08,"Werla Insurance Company limited","Alfred Craig Street, XBX 1, Ta' Xbiex",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
MTICWRIE,213800QWL4SCYLFFAE38,"White rock Insurance (Europe) PCC Limited","3RD FLOOR BLOCKS A and B AVENUE 77 TRIQ IN- NEGOZJU ZONE 3 CE, CBD 3, BIRKIRKARA",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
MTICWRIN,213800R3LMO27B55P466,"White Rock Insurance (Netherlands) PCC Limited","3RD FLOOR BLOCKS A and B AVENUE 77 TRIQ IN-NEGOZJU, CBD 3, BIRKIRKARA",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
