"International Name";"Name of NCA";"Home Country";"Identification code";"LEI";"Official name of the entity";"Cross border status";"EU Country where the entity operates";"Local/Commercial name";"Registration start date";"Registration end date";"Street Name";"Street Number";"Post Code";"City";"County";"Website address";"Operation Start Date";"Operation End Date";
"COLONNADE INSURANCE S.A.";"Commissariat aux Assurances (CAA)";"LU";"ACOLINRO";"222100IUSAKCDAYTMX08";"COLONNADE INSURANCE S.A.";"FPS for EEA Branches";"PT";"";"24/11/2017 00:00:00";"";"82-94 Buzesti Street, 10th floor, District 1";"";"n/a";"BUCHAREST";"";"";"24/11/2017 00:00:00";"";
"COLONNADE INSURANCE S.A.";"Commissariat aux Assurances (CAA)";"LU";"ACOLINSI";"222100IUSAKCDAYTMX08";"COLONNADE INSURANCE S.A.";"FPS for EEA Branches";"MT";"";"04/01/2016 00:00:00";"";"rue Jean Piret";"";"2350";"LUXEMBOURG";"";"";"04/01/2016 00:00:00";"";
"COLONNADE INSURANCE S.A.";"Commissariat aux Assurances (CAA)";"LU";"ACOLINRO";"222100IUSAKCDAYTMX08";"COLONNADE INSURANCE S.A.";"FPS for EEA Branches";"PL";"";"24/11/2017 00:00:00";"";"82-94 Buzesti Street, 10th floor, District 1";"";"n/a";"BUCHAREST";"";"";"24/11/2017 00:00:00";"";
"COLONNADE INSURANCE S.A.";"Commissariat aux Assurances (CAA)";"LU";"ACOLINSI";"222100IUSAKCDAYTMX08";"COLONNADE INSURANCE S.A.";"FPS for EEA Branches";"NO";"";"19/06/2017 00:00:00";"";"rue Jean Piret";"";"2350";"LUXEMBOURG";"";"";"19/06/2017 00:00:00";"";
"COLONNADE INSURANCE S.A.";"Commissariat aux Assurances (CAA)";"LU";"ACOLINRO";"222100IUSAKCDAYTMX08";"COLONNADE INSURANCE S.A.";"FPS for EEA Branches";"SE";"";"24/11/2017 00:00:00";"";"82-94 Buzesti Street, 10th floor, District 1";"";"n/a";"BUCHAREST";"";"";"24/11/2017 00:00:00";"";
"COLONNADE INSURANCE S.A.";"Commissariat aux Assurances (CAA)";"LU";"ACOLINRO";"222100IUSAKCDAYTMX08";"COLONNADE INSURANCE S.A.";"FPS for EEA Branches";"SI";"";"24/11/2017 00:00:00";"";"82-94 Buzesti Street, 10th floor, District 1";"";"n/a";"BUCHAREST";"";"";"24/11/2017 00:00:00";"";
"COLONNADE INSURANCE S.A.";"Commissariat aux Assurances (CAA)";"LU";"ACOLINSI";"222100IUSAKCDAYTMX08";"COLONNADE INSURANCE S.A.";"FPS for EEA Branches";"NL";"";"04/01/2016 00:00:00";"";"rue Jean Piret";"";"2350";"LUXEMBOURG";"";"";"04/01/2016 00:00:00";"";
"COLONNADE INSURANCE S.A.";"Commissariat aux Assurances (CAA)";"LU";"ACOLINSI";"222100IUSAKCDAYTMX08";"COLONNADE INSURANCE S.A.";"FPS for EEA Branches";"PL";"";"04/01/2016 00:00:00";"";"rue Jean Piret";"";"2350";"LUXEMBOURG";"";"";"04/01/2016 00:00:00";"";
"COLONNADE INSURANCE S.A.";"Commissariat aux Assurances (CAA)";"LU";"ACOLINSI";"222100IUSAKCDAYTMX08";"COLONNADE INSURANCE S.A.";"FPS for EEA Branches";"PT";"";"04/01/2016 00:00:00";"";"rue Jean Piret";"";"2350";"LUXEMBOURG";"";"";"04/01/2016 00:00:00";"";
"COLONNADE INSURANCE S.A.";"Commissariat aux Assurances (CAA)";"LU";"ACOLINSI";"222100IUSAKCDAYTMX08";"COLONNADE INSURANCE S.A.";"FPS for EEA Branches";"AT";"";"04/01/2016 00:00:00";"";"rue Jean Piret";"";"2350";"LUXEMBOURG";"";"";"04/01/2016 00:00:00";"";
"COLONNADE INSURANCE S.A.";"Commissariat aux Assurances (CAA)";"LU";"ACOLINSI";"222100IUSAKCDAYTMX08";"COLONNADE INSURANCE S.A.";"FPS for EEA Branches";"RO";"";"04/01/2016 00:00:00";"";"rue Jean Piret";"";"2350";"LUXEMBOURG";"";"";"04/01/2016 00:00:00";"";
"COLONNADE INSURANCE S.A.";"Commissariat aux Assurances (CAA)";"LU";"ACOLINSI";"222100IUSAKCDAYTMX08";"COLONNADE INSURANCE S.A.";"FPS for EEA Branches";"BG";"";"04/01/2016 00:00:00";"";"rue Jean Piret";"";"2350";"LUXEMBOURG";"";"";"04/01/2016 00:00:00";"";
